sorted_opacity shape: torch.Size([62, 1]), gauss_weight shape: torch.Size([64, 62])
sorted_opacity shape: torch.Size([103, 1]), gauss_weight shape: torch.Size([64, 103])
sorted_opacity shape: torch.Size([169, 1]), gauss_weight shape: torch.Size([64, 169])
sorted_opacity shape: torch.Size([291, 1]), gauss_weight shape: torch.Size([64, 291])
sorted_opacity shape: torch.Size([391, 1]), gauss_weight shape: torch.Size([64, 391])
sorted_opacity shape: torch.Size([518, 1]), gauss_weight shape: torch.Size([64, 518])
sorted_opacity shape: torch.Size([619, 1]), gauss_weight shape: torch.Size([64, 619])
sorted_opacity shape: torch.Size([704, 1]), gauss_weight shape: torch.Size([64, 704])
sorted_opacity shape: torch.Size([826, 1]), gauss_weight shape: torch.Size([64, 826])
sorted_opacity shape: torch.Size([950, 1]), gauss_weight shape: torch.Size([64, 950])
sorted_opacity shape: torch.Size([1055, 1]), gauss_weight shape: torch.Size([64, 1055])
sorted_opacity shape: torch.Size([1190, 1]), gauss_weight shape: torch.Size([64, 1190])
sorted_opacity shape: torch.Size([1304, 1]), gauss_weight shape: torch.Size([64, 1304])
sorted_opacity shape: torch.Size([1400, 1]), gauss_weight shape: torch.Size([64, 1400])
sorted_opacity shape: torch.Size([1488, 1]), gauss_weight shape: torch.Size([64, 1488])
sorted_opacity shape: torch.Size([1541, 1]), gauss_weight shape: torch.Size([64, 1541])
sorted_opacity shape: torch.Size([1557, 1]), gauss_weight shape: torch.Size([64, 1557])
sorted_opacity shape: torch.Size([1503, 1]), gauss_weight shape: torch.Size([64, 1503])
sorted_opacity shape: torch.Size([1420, 1]), gauss_weight shape: torch.Size([64, 1420])
sorted_opacity shape: torch.Size([1318, 1]), gauss_weight shape: torch.Size([64, 1318])
sorted_opacity shape: torch.Size([1213, 1]), gauss_weight shape: torch.Size([64, 1213])
sorted_opacity shape: torch.Size([1114, 1]), gauss_weight shape: torch.Size([64, 1114])
sorted_opacity shape: torch.Size([994, 1]), gauss_weight shape: torch.Size([64, 994])
sorted_opacity shape: torch.Size([883, 1]), gauss_weight shape: torch.Size([64, 883])
sorted_opacity shape: torch.Size([767, 1]), gauss_weight shape: torch.Size([64, 767])
sorted_opacity shape: torch.Size([651, 1]), gauss_weight shape: torch.Size([64, 651])
sorted_opacity shape: torch.Size([560, 1]), gauss_weight shape: torch.Size([64, 560])
sorted_opacity shape: torch.Size([421, 1]), gauss_weight shape: torch.Size([64, 421])
sorted_opacity shape: torch.Size([297, 1]), gauss_weight shape: torch.Size([64, 297])
sorted_opacity shape: torch.Size([205, 1]), gauss_weight shape: torch.Size([64, 205])
sorted_opacity shape: torch.Size([117, 1]), gauss_weight shape: torch.Size([64, 117])
sorted_opacity shape: torch.Size([70, 1]), gauss_weight shape: torch.Size([64, 70])
sorted_opacity shape: torch.Size([52, 1]), gauss_weight shape: torch.Size([64, 52])
sorted_opacity shape: torch.Size([41, 1]), gauss_weight shape: torch.Size([64, 41])
sorted_opacity shape: torch.Size([40, 1]), gauss_weight shape: torch.Size([64, 40])
sorted_opacity shape: torch.Size([29, 1]), gauss_weight shape: torch.Size([64, 29])
sorted_opacity shape: torch.Size([23, 1]), gauss_weight shape: torch.Size([64, 23])
sorted_opacity shape: torch.Size([20, 1]), gauss_weight shape: torch.Size([64, 20])
sorted_opacity shape: torch.Size([19, 1]), gauss_weight shape: torch.Size([64, 19])
sorted_opacity shape: torch.Size([17, 1]), gauss_weight shape: torch.Size([64, 17])
sorted_opacity shape: torch.Size([15, 1]), gauss_weight shape: torch.Size([64, 15])
sorted_opacity shape: torch.Size([13, 1]), gauss_weight shape: torch.Size([64, 13])
sorted_opacity shape: torch.Size([15, 1]), gauss_weight shape: torch.Size([64, 15])
sorted_opacity shape: torch.Size([19, 1]), gauss_weight shape: torch.Size([64, 19])
sorted_opacity shape: torch.Size([26, 1]), gauss_weight shape: torch.Size([64, 26])
sorted_opacity shape: torch.Size([31, 1]), gauss_weight shape: torch.Size([64, 31])
sorted_opacity shape: torch.Size([35, 1]), gauss_weight shape: torch.Size([64, 35])
sorted_opacity shape: torch.Size([42, 1]), gauss_weight shape: torch.Size([64, 42])
sorted_opacity shape: torch.Size([50, 1]), gauss_weight shape: torch.Size([64, 50])
sorted_opacity shape: torch.Size([61, 1]), gauss_weight shape: torch.Size([64, 61])
sorted_opacity shape: torch.Size([68, 1]), gauss_weight shape: torch.Size([64, 68])
sorted_opacity shape: torch.Size([110, 1]), gauss_weight shape: torch.Size([64, 110])
sorted_opacity shape: torch.Size([179, 1]), gauss_weight shape: torch.Size([64, 179])
sorted_opacity shape: torch.Size([309, 1]), gauss_weight shape: torch.Size([64, 309])
sorted_opacity shape: torch.Size([436, 1]), gauss_weight shape: torch.Size([64, 436])
sorted_opacity shape: torch.Size([573, 1]), gauss_weight shape: torch.Size([64, 573])
sorted_opacity shape: torch.Size([697, 1]), gauss_weight shape: torch.Size([64, 697])
sorted_opacity shape: torch.Size([789, 1]), gauss_weight shape: torch.Size([64, 789])
sorted_opacity shape: torch.Size([925, 1]), gauss_weight shape: torch.Size([64, 925])
