sorted_opacity shape: torch.Size([14, 1]), gauss_weight shape: torch.Size([64, 14])
sorted_opacity shape: torch.Size([11, 1]), gauss_weight shape: torch.Size([64, 11])
sorted_opacity shape: torch.Size([12, 1]), gauss_weight shape: torch.Size([64, 12])
sorted_opacity shape: torch.Size([16, 1]), gauss_weight shape: torch.Size([64, 16])
sorted_opacity shape: torch.Size([21, 1]), gauss_weight shape: torch.Size([64, 21])
sorted_opacity shape: torch.Size([23, 1]), gauss_weight shape: torch.Size([64, 23])
sorted_opacity shape: torch.Size([25, 1]), gauss_weight shape: torch.Size([64, 25])
sorted_opacity shape: torch.Size([31, 1]), gauss_weight shape: torch.Size([64, 31])
sorted_opacity shape: torch.Size([37, 1]), gauss_weight shape: torch.Size([64, 37])
sorted_opacity shape: torch.Size([39, 1]), gauss_weight shape: torch.Size([64, 39])
sorted_opacity shape: torch.Size([45, 1]), gauss_weight shape: torch.Size([64, 45])
sorted_opacity shape: torch.Size([63, 1]), gauss_weight shape: torch.Size([64, 63])
sorted_opacity shape: torch.Size([103, 1]), gauss_weight shape: torch.Size([64, 103])
sorted_opacity shape: torch.Size([168, 1]), gauss_weight shape: torch.Size([64, 168])
sorted_opacity shape: torch.Size([275, 1]), gauss_weight shape: torch.Size([64, 275])
sorted_opacity shape: torch.Size([416, 1]), gauss_weight shape: torch.Size([64, 416])
sorted_opacity shape: torch.Size([523, 1]), gauss_weight shape: torch.Size([64, 523])
sorted_opacity shape: torch.Size([620, 1]), gauss_weight shape: torch.Size([64, 620])
sorted_opacity shape: torch.Size([754, 1]), gauss_weight shape: torch.Size([64, 754])
sorted_opacity shape: torch.Size([874, 1]), gauss_weight shape: torch.Size([64, 874])
sorted_opacity shape: torch.Size([996, 1]), gauss_weight shape: torch.Size([64, 996])
sorted_opacity shape: torch.Size([1105, 1]), gauss_weight shape: torch.Size([64, 1105])
sorted_opacity shape: torch.Size([1216, 1]), gauss_weight shape: torch.Size([64, 1216])
sorted_opacity shape: torch.Size([1323, 1]), gauss_weight shape: torch.Size([64, 1323])
sorted_opacity shape: torch.Size([1432, 1]), gauss_weight shape: torch.Size([64, 1432])
sorted_opacity shape: torch.Size([1522, 1]), gauss_weight shape: torch.Size([64, 1522])
sorted_opacity shape: torch.Size([1572, 1]), gauss_weight shape: torch.Size([64, 1572])
sorted_opacity shape: torch.Size([1564, 1]), gauss_weight shape: torch.Size([64, 1564])
sorted_opacity shape: torch.Size([1524, 1]), gauss_weight shape: torch.Size([64, 1524])
sorted_opacity shape: torch.Size([1432, 1]), gauss_weight shape: torch.Size([64, 1432])
sorted_opacity shape: torch.Size([1323, 1]), gauss_weight shape: torch.Size([64, 1323])
sorted_opacity shape: torch.Size([1226, 1]), gauss_weight shape: torch.Size([64, 1226])
sorted_opacity shape: torch.Size([1118, 1]), gauss_weight shape: torch.Size([64, 1118])
sorted_opacity shape: torch.Size([1011, 1]), gauss_weight shape: torch.Size([64, 1011])
sorted_opacity shape: torch.Size([896, 1]), gauss_weight shape: torch.Size([64, 896])
sorted_opacity shape: torch.Size([765, 1]), gauss_weight shape: torch.Size([64, 765])
sorted_opacity shape: torch.Size([629, 1]), gauss_weight shape: torch.Size([64, 629])
sorted_opacity shape: torch.Size([513, 1]), gauss_weight shape: torch.Size([64, 513])
sorted_opacity shape: torch.Size([423, 1]), gauss_weight shape: torch.Size([64, 423])
sorted_opacity shape: torch.Size([292, 1]), gauss_weight shape: torch.Size([64, 292])
sorted_opacity shape: torch.Size([178, 1]), gauss_weight shape: torch.Size([64, 178])
sorted_opacity shape: torch.Size([110, 1]), gauss_weight shape: torch.Size([64, 110])
sorted_opacity shape: torch.Size([67, 1]), gauss_weight shape: torch.Size([64, 67])
sorted_opacity shape: torch.Size([54, 1]), gauss_weight shape: torch.Size([64, 54])
sorted_opacity shape: torch.Size([46, 1]), gauss_weight shape: torch.Size([64, 46])
sorted_opacity shape: torch.Size([37, 1]), gauss_weight shape: torch.Size([64, 37])
