sorted_opacity shape: torch.Size([2665, 1]), gauss_weight shape: torch.Size([256, 2665])
sorted_opacity shape: torch.Size([2896, 1]), gauss_weight shape: torch.Size([256, 2896])
sorted_opacity shape: torch.Size([2686, 1]), gauss_weight shape: torch.Size([256, 2686])
sorted_opacity shape: torch.Size([2312, 1]), gauss_weight shape: torch.Size([256, 2312])
sorted_opacity shape: torch.Size([1905, 1]), gauss_weight shape: torch.Size([256, 1905])
sorted_opacity shape: torch.Size([1549, 1]), gauss_weight shape: torch.Size([256, 1549])
sorted_opacity shape: torch.Size([1133, 1]), gauss_weight shape: torch.Size([256, 1133])
sorted_opacity shape: torch.Size([670, 1]), gauss_weight shape: torch.Size([256, 670])
sorted_opacity shape: torch.Size([273, 1]), gauss_weight shape: torch.Size([256, 273])
sorted_opacity shape: torch.Size([113, 1]), gauss_weight shape: torch.Size([256, 113])
sorted_opacity shape: torch.Size([62, 1]), gauss_weight shape: torch.Size([256, 62])
sorted_opacity shape: torch.Size([43, 1]), gauss_weight shape: torch.Size([256, 43])
sorted_opacity shape: torch.Size([30, 1]), gauss_weight shape: torch.Size([256, 30])
sorted_opacity shape: torch.Size([19, 1]), gauss_weight shape: torch.Size([256, 19])
sorted_opacity shape: torch.Size([30, 1]), gauss_weight shape: torch.Size([256, 30])
sorted_opacity shape: torch.Size([51, 1]), gauss_weight shape: torch.Size([256, 51])
sorted_opacity shape: torch.Size([72, 1]), gauss_weight shape: torch.Size([256, 72])
sorted_opacity shape: torch.Size([100, 1]), gauss_weight shape: torch.Size([256, 100])
sorted_opacity shape: torch.Size([171, 1]), gauss_weight shape: torch.Size([256, 171])
sorted_opacity shape: torch.Size([394, 1]), gauss_weight shape: torch.Size([256, 394])
sorted_opacity shape: torch.Size([824, 1]), gauss_weight shape: torch.Size([256, 824])
sorted_opacity shape: torch.Size([1333, 1]), gauss_weight shape: torch.Size([256, 1333])
sorted_opacity shape: torch.Size([1811, 1]), gauss_weight shape: torch.Size([256, 1811])
sorted_opacity shape: torch.Size([2262, 1]), gauss_weight shape: torch.Size([256, 2262])
sorted_opacity shape: torch.Size([2724, 1]), gauss_weight shape: torch.Size([256, 2724])
sorted_opacity shape: torch.Size([3146, 1]), gauss_weight shape: torch.Size([256, 3146])
sorted_opacity shape: torch.Size([3404, 1]), gauss_weight shape: torch.Size([256, 3404])
sorted_opacity shape: torch.Size([3167, 1]), gauss_weight shape: torch.Size([256, 3167])
sorted_opacity shape: torch.Size([2737, 1]), gauss_weight shape: torch.Size([256, 2737])
sorted_opacity shape: torch.Size([2277, 1]), gauss_weight shape: torch.Size([256, 2277])
sorted_opacity shape: torch.Size([1836, 1]), gauss_weight shape: torch.Size([256, 1836])
sorted_opacity shape: torch.Size([1343, 1]), gauss_weight shape: torch.Size([256, 1343])
sorted_opacity shape: torch.Size([808, 1]), gauss_weight shape: torch.Size([256, 808])
sorted_opacity shape: torch.Size([345, 1]), gauss_weight shape: torch.Size([256, 345])
sorted_opacity shape: torch.Size([142, 1]), gauss_weight shape: torch.Size([256, 142])
sorted_opacity shape: torch.Size([77, 1]), gauss_weight shape: torch.Size([256, 77])
sorted_opacity shape: torch.Size([51, 1]), gauss_weight shape: torch.Size([256, 51])
sorted_opacity shape: torch.Size([32, 1]), gauss_weight shape: torch.Size([256, 32])
sorted_opacity shape: torch.Size([19, 1]), gauss_weight shape: torch.Size([256, 19])
sorted_opacity shape: torch.Size([33, 1]), gauss_weight shape: torch.Size([256, 33])
sorted_opacity shape: torch.Size([56, 1]), gauss_weight shape: torch.Size([256, 56])
sorted_opacity shape: torch.Size([87, 1]), gauss_weight shape: torch.Size([256, 87])
sorted_opacity shape: torch.Size([118, 1]), gauss_weight shape: torch.Size([256, 118])
sorted_opacity shape: torch.Size([213, 1]), gauss_weight shape: torch.Size([256, 213])
sorted_opacity shape: torch.Size([500, 1]), gauss_weight shape: torch.Size([256, 500])
sorted_opacity shape: torch.Size([969, 1]), gauss_weight shape: torch.Size([256, 969])
sorted_opacity shape: torch.Size([1508, 1]), gauss_weight shape: torch.Size([256, 1508])
sorted_opacity shape: torch.Size([2039, 1]), gauss_weight shape: torch.Size([256, 2039])
sorted_opacity shape: torch.Size([2507, 1]), gauss_weight shape: torch.Size([256, 2507])
sorted_opacity shape: torch.Size([3012, 1]), gauss_weight shape: torch.Size([256, 3012])
sorted_opacity shape: torch.Size([3393, 1]), gauss_weight shape: torch.Size([256, 3393])
sorted_opacity shape: torch.Size([3619, 1]), gauss_weight shape: torch.Size([256, 3619])
sorted_opacity shape: torch.Size([3433, 1]), gauss_weight shape: torch.Size([256, 3433])
sorted_opacity shape: torch.Size([3015, 1]), gauss_weight shape: torch.Size([256, 3015])
sorted_opacity shape: torch.Size([2520, 1]), gauss_weight shape: torch.Size([256, 2520])
sorted_opacity shape: torch.Size([2040, 1]), gauss_weight shape: torch.Size([256, 2040])
sorted_opacity shape: torch.Size([1515, 1]), gauss_weight shape: torch.Size([256, 1515])
sorted_opacity shape: torch.Size([970, 1]), gauss_weight shape: torch.Size([256, 970])
sorted_opacity shape: torch.Size([442, 1]), gauss_weight shape: torch.Size([256, 442])
sorted_opacity shape: torch.Size([181, 1]), gauss_weight shape: torch.Size([256, 181])
sorted_opacity shape: torch.Size([102, 1]), gauss_weight shape: torch.Size([256, 102])
sorted_opacity shape: torch.Size([63, 1]), gauss_weight shape: torch.Size([256, 63])
sorted_opacity shape: torch.Size([39, 1]), gauss_weight shape: torch.Size([256, 39])
sorted_opacity shape: torch.Size([20, 1]), gauss_weight shape: torch.Size([256, 20])
sorted_opacity shape: torch.Size([35, 1]), gauss_weight shape: torch.Size([256, 35])
sorted_opacity shape: torch.Size([64, 1]), gauss_weight shape: torch.Size([256, 64])
sorted_opacity shape: torch.Size([103, 1]), gauss_weight shape: torch.Size([256, 103])
sorted_opacity shape: torch.Size([148, 1]), gauss_weight shape: torch.Size([256, 148])
sorted_opacity shape: torch.Size([269, 1]), gauss_weight shape: torch.Size([256, 269])
sorted_opacity shape: torch.Size([618, 1]), gauss_weight shape: torch.Size([256, 618])
sorted_opacity shape: torch.Size([1112, 1]), gauss_weight shape: torch.Size([256, 1112])
sorted_opacity shape: torch.Size([1636, 1]), gauss_weight shape: torch.Size([256, 1636])
