sorted_opacity shape: torch.Size([1034, 1]), gauss_weight shape: torch.Size([16, 1034])
sorted_opacity shape: torch.Size([1019, 1]), gauss_weight shape: torch.Size([16, 1019])
sorted_opacity shape: torch.Size([1000, 1]), gauss_weight shape: torch.Size([16, 1000])
sorted_opacity shape: torch.Size([969, 1]), gauss_weight shape: torch.Size([16, 969])
sorted_opacity shape: torch.Size([937, 1]), gauss_weight shape: torch.Size([16, 937])
sorted_opacity shape: torch.Size([907, 1]), gauss_weight shape: torch.Size([16, 907])
sorted_opacity shape: torch.Size([878, 1]), gauss_weight shape: torch.Size([16, 878])
sorted_opacity shape: torch.Size([850, 1]), gauss_weight shape: torch.Size([16, 850])
sorted_opacity shape: torch.Size([816, 1]), gauss_weight shape: torch.Size([16, 816])
sorted_opacity shape: torch.Size([777, 1]), gauss_weight shape: torch.Size([16, 777])
sorted_opacity shape: torch.Size([758, 1]), gauss_weight shape: torch.Size([16, 758])
sorted_opacity shape: torch.Size([727, 1]), gauss_weight shape: torch.Size([16, 727])
sorted_opacity shape: torch.Size([681, 1]), gauss_weight shape: torch.Size([16, 681])
sorted_opacity shape: torch.Size([630, 1]), gauss_weight shape: torch.Size([16, 630])
sorted_opacity shape: torch.Size([590, 1]), gauss_weight shape: torch.Size([16, 590])
sorted_opacity shape: torch.Size([551, 1]), gauss_weight shape: torch.Size([16, 551])
sorted_opacity shape: torch.Size([521, 1]), gauss_weight shape: torch.Size([16, 521])
sorted_opacity shape: torch.Size([479, 1]), gauss_weight shape: torch.Size([16, 479])
sorted_opacity shape: torch.Size([444, 1]), gauss_weight shape: torch.Size([16, 444])
sorted_opacity shape: torch.Size([405, 1]), gauss_weight shape: torch.Size([16, 405])
sorted_opacity shape: torch.Size([368, 1]), gauss_weight shape: torch.Size([16, 368])
sorted_opacity shape: torch.Size([336, 1]), gauss_weight shape: torch.Size([16, 336])
sorted_opacity shape: torch.Size([306, 1]), gauss_weight shape: torch.Size([16, 306])
sorted_opacity shape: torch.Size([272, 1]), gauss_weight shape: torch.Size([16, 272])
sorted_opacity shape: torch.Size([240, 1]), gauss_weight shape: torch.Size([16, 240])
sorted_opacity shape: torch.Size([200, 1]), gauss_weight shape: torch.Size([16, 200])
sorted_opacity shape: torch.Size([173, 1]), gauss_weight shape: torch.Size([16, 173])
sorted_opacity shape: torch.Size([141, 1]), gauss_weight shape: torch.Size([16, 141])
sorted_opacity shape: torch.Size([119, 1]), gauss_weight shape: torch.Size([16, 119])
sorted_opacity shape: torch.Size([99, 1]), gauss_weight shape: torch.Size([16, 99])
sorted_opacity shape: torch.Size([79, 1]), gauss_weight shape: torch.Size([16, 79])
sorted_opacity shape: torch.Size([67, 1]), gauss_weight shape: torch.Size([16, 67])
sorted_opacity shape: torch.Size([51, 1]), gauss_weight shape: torch.Size([16, 51])
sorted_opacity shape: torch.Size([44, 1]), gauss_weight shape: torch.Size([16, 44])
sorted_opacity shape: torch.Size([42, 1]), gauss_weight shape: torch.Size([16, 42])
sorted_opacity shape: torch.Size([36, 1]), gauss_weight shape: torch.Size([16, 36])
sorted_opacity shape: torch.Size([33, 1]), gauss_weight shape: torch.Size([16, 33])
sorted_opacity shape: torch.Size([31, 1]), gauss_weight shape: torch.Size([16, 31])
