sorted_opacity shape: torch.Size([45, 1]), gauss_weight shape: torch.Size([64, 45])
sorted_opacity shape: torch.Size([52, 1]), gauss_weight shape: torch.Size([64, 52])
sorted_opacity shape: torch.Size([67, 1]), gauss_weight shape: torch.Size([64, 67])
sorted_opacity shape: torch.Size([99, 1]), gauss_weight shape: torch.Size([64, 99])
sorted_opacity shape: torch.Size([168, 1]), gauss_weight shape: torch.Size([64, 168])
sorted_opacity shape: torch.Size([241, 1]), gauss_weight shape: torch.Size([64, 241])
sorted_opacity shape: torch.Size([336, 1]), gauss_weight shape: torch.Size([64, 336])
sorted_opacity shape: torch.Size([434, 1]), gauss_weight shape: torch.Size([64, 434])
sorted_opacity shape: torch.Size([526, 1]), gauss_weight shape: torch.Size([64, 526])
sorted_opacity shape: torch.Size([646, 1]), gauss_weight shape: torch.Size([64, 646])
sorted_opacity shape: torch.Size([747, 1]), gauss_weight shape: torch.Size([64, 747])
sorted_opacity shape: torch.Size([812, 1]), gauss_weight shape: torch.Size([64, 812])
sorted_opacity shape: torch.Size([855, 1]), gauss_weight shape: torch.Size([64, 855])
sorted_opacity shape: torch.Size([871, 1]), gauss_weight shape: torch.Size([64, 871])
sorted_opacity shape: torch.Size([878, 1]), gauss_weight shape: torch.Size([64, 878])
sorted_opacity shape: torch.Size([859, 1]), gauss_weight shape: torch.Size([64, 859])
sorted_opacity shape: torch.Size([806, 1]), gauss_weight shape: torch.Size([64, 806])
sorted_opacity shape: torch.Size([738, 1]), gauss_weight shape: torch.Size([64, 738])
sorted_opacity shape: torch.Size([626, 1]), gauss_weight shape: torch.Size([64, 626])
sorted_opacity shape: torch.Size([517, 1]), gauss_weight shape: torch.Size([64, 517])
sorted_opacity shape: torch.Size([431, 1]), gauss_weight shape: torch.Size([64, 431])
sorted_opacity shape: torch.Size([335, 1]), gauss_weight shape: torch.Size([64, 335])
sorted_opacity shape: torch.Size([234, 1]), gauss_weight shape: torch.Size([64, 234])
sorted_opacity shape: torch.Size([150, 1]), gauss_weight shape: torch.Size([64, 150])
sorted_opacity shape: torch.Size([79, 1]), gauss_weight shape: torch.Size([64, 79])
sorted_opacity shape: torch.Size([55, 1]), gauss_weight shape: torch.Size([64, 55])
sorted_opacity shape: torch.Size([40, 1]), gauss_weight shape: torch.Size([64, 40])
sorted_opacity shape: torch.Size([29, 1]), gauss_weight shape: torch.Size([64, 29])
sorted_opacity shape: torch.Size([23, 1]), gauss_weight shape: torch.Size([64, 23])
sorted_opacity shape: torch.Size([37, 1]), gauss_weight shape: torch.Size([64, 37])
sorted_opacity shape: torch.Size([51, 1]), gauss_weight shape: torch.Size([64, 51])
sorted_opacity shape: torch.Size([58, 1]), gauss_weight shape: torch.Size([64, 58])
sorted_opacity shape: torch.Size([75, 1]), gauss_weight shape: torch.Size([64, 75])
sorted_opacity shape: torch.Size([113, 1]), gauss_weight shape: torch.Size([64, 113])
sorted_opacity shape: torch.Size([192, 1]), gauss_weight shape: torch.Size([64, 192])
sorted_opacity shape: torch.Size([285, 1]), gauss_weight shape: torch.Size([64, 285])
sorted_opacity shape: torch.Size([397, 1]), gauss_weight shape: torch.Size([64, 397])
sorted_opacity shape: torch.Size([517, 1]), gauss_weight shape: torch.Size([64, 517])
sorted_opacity shape: torch.Size([628, 1]), gauss_weight shape: torch.Size([64, 628])
sorted_opacity shape: torch.Size([759, 1]), gauss_weight shape: torch.Size([64, 759])
sorted_opacity shape: torch.Size([874, 1]), gauss_weight shape: torch.Size([64, 874])
sorted_opacity shape: torch.Size([950, 1]), gauss_weight shape: torch.Size([64, 950])
sorted_opacity shape: torch.Size([1002, 1]), gauss_weight shape: torch.Size([64, 1002])
sorted_opacity shape: torch.Size([1036, 1]), gauss_weight shape: torch.Size([64, 1036])
sorted_opacity shape: torch.Size([1052, 1]), gauss_weight shape: torch.Size([64, 1052])
sorted_opacity shape: torch.Size([1025, 1]), gauss_weight shape: torch.Size([64, 1025])
sorted_opacity shape: torch.Size([963, 1]), gauss_weight shape: torch.Size([64, 963])
sorted_opacity shape: torch.Size([886, 1]), gauss_weight shape: torch.Size([64, 886])
sorted_opacity shape: torch.Size([762, 1]), gauss_weight shape: torch.Size([64, 762])
sorted_opacity shape: torch.Size([630, 1]), gauss_weight shape: torch.Size([64, 630])
sorted_opacity shape: torch.Size([523, 1]), gauss_weight shape: torch.Size([64, 523])
sorted_opacity shape: torch.Size([407, 1]), gauss_weight shape: torch.Size([64, 407])
sorted_opacity shape: torch.Size([292, 1]), gauss_weight shape: torch.Size([64, 292])
sorted_opacity shape: torch.Size([197, 1]), gauss_weight shape: torch.Size([64, 197])
sorted_opacity shape: torch.Size([100, 1]), gauss_weight shape: torch.Size([64, 100])
sorted_opacity shape: torch.Size([65, 1]), gauss_weight shape: torch.Size([64, 65])
sorted_opacity shape: torch.Size([46, 1]), gauss_weight shape: torch.Size([64, 46])
sorted_opacity shape: torch.Size([32, 1]), gauss_weight shape: torch.Size([64, 32])
sorted_opacity shape: torch.Size([24, 1]), gauss_weight shape: torch.Size([64, 24])
sorted_opacity shape: torch.Size([40, 1]), gauss_weight shape: torch.Size([64, 40])
sorted_opacity shape: torch.Size([55, 1]), gauss_weight shape: torch.Size([64, 55])
sorted_opacity shape: torch.Size([63, 1]), gauss_weight shape: torch.Size([64, 63])
sorted_opacity shape: torch.Size([82, 1]), gauss_weight shape: torch.Size([64, 82])
sorted_opacity shape: torch.Size([130, 1]), gauss_weight shape: torch.Size([64, 130])
sorted_opacity shape: torch.Size([218, 1]), gauss_weight shape: torch.Size([64, 218])
sorted_opacity shape: torch.Size([335, 1]), gauss_weight shape: torch.Size([64, 335])
sorted_opacity shape: torch.Size([461, 1]), gauss_weight shape: torch.Size([64, 461])
sorted_opacity shape: torch.Size([594, 1]), gauss_weight shape: torch.Size([64, 594])
sorted_opacity shape: torch.Size([720, 1]), gauss_weight shape: torch.Size([64, 720])
sorted_opacity shape: torch.Size([869, 1]), gauss_weight shape: torch.Size([64, 869])
sorted_opacity shape: torch.Size([997, 1]), gauss_weight shape: torch.Size([64, 997])
sorted_opacity shape: torch.Size([1088, 1]), gauss_weight shape: torch.Size([64, 1088])
sorted_opacity shape: torch.Size([1154, 1]), gauss_weight shape: torch.Size([64, 1154])
sorted_opacity shape: torch.Size([1197, 1]), gauss_weight shape: torch.Size([64, 1197])
sorted_opacity shape: torch.Size([1219, 1]), gauss_weight shape: torch.Size([64, 1219])
sorted_opacity shape: torch.Size([1175, 1]), gauss_weight shape: torch.Size([64, 1175])
